"Category","Gemiddeld bruto inkomen "
"1977","64,5"
"1981","63,8"
"1985","58,6"
"1989","62,7"
"1990","64,6"
"1991","65,1"
"1992","65,4"
"1993","64,4"
"1994","63,3"
"1995","63,2"
"1996","63,1"
"1997","62,9"
"1998","63,8"
"1999","65,7"
"2000","70,1"
"2001","71,3"
"2002","71,8"
"2003","71,9"
"2004","73,6"
"2005","73,8"
"2006","75,8"
"2007","78,4"
"2008","78,3"
"2009","77,8"
"2010","77,7"
"2011","75,5"
"2012","74,6"
"2013","73,5"
"2014","75,7"
"2015","73,7"
"2016","75,6"
"2017","77,8"
"2018","78,3"
"2019","81,4"
"2020","81,5"
"2021","82,6"
"2022*","82,1"