"Periods";"Regions";"Average purchase price (euro)"
"2013";"Arnhem";"  189517"
"2014";"Arnhem";"  190551"
"2015";"Arnhem";"  199528"
"2016";"Arnhem";"  205816"
"2017";"Arnhem";"  221424"
"2018";"Arnhem";"  249290"
"2019";"Arnhem";"  260635"
"2020";"Arnhem";"  279571"
"2021";"Arnhem";"  344738"
"2022";"Arnhem";"  383699"
"2023";"Arnhem";"  369114"
"2024";"Arnhem";"  403201"
"2013";"Assen";"  172090"
"2014";"Assen";"  175497"
"2015";"Assen";"  183838"
"2016";"Assen";"  190911"
"2017";"Assen";"  199135"
"2018";"Assen";"  213612"
"2019";"Assen";"  228658"
"2020";"Assen";"  250572"
"2021";"Assen";"  301082"
"2022";"Assen";"  330027"
"2023";"Assen";"  334100"
"2024";"Assen";"  361465"
"2013";"'s-Gravenhage (municipality)";"  216214"
"2014";"'s-Gravenhage (municipality)";"  223820"
"2015";"'s-Gravenhage (municipality)";"  231302"
"2016";"'s-Gravenhage (municipality)";"  244849"
"2017";"'s-Gravenhage (municipality)";"  266672"
"2018";"'s-Gravenhage (municipality)";"  304781"
"2019";"'s-Gravenhage (municipality)";"  324838"
"2020";"'s-Gravenhage (municipality)";"  355807"
"2021";"'s-Gravenhage (municipality)";"  411717"
"2022";"'s-Gravenhage (municipality)";"  454312"
"2023";"'s-Gravenhage (municipality)";"  413689"
"2024";"'s-Gravenhage (municipality)";"  447417"
"2013";"Groningen (municipality)";"  165860"
"2014";"Groningen (municipality)";"  170483"
"2015";"Groningen (municipality)";"  177441"
"2016";"Groningen (municipality)";"  186685"
"2017";"Groningen (municipality)";"  206996"
"2018";"Groningen (municipality)";"  226280"
"2019";"Groningen (municipality)";"  258873"
"2020";"Groningen (municipality)";"  278720"
"2021";"Groningen (municipality)";"  321804"
"2022";"Groningen (municipality)";"  353917"
"2023";"Groningen (municipality)";"  349931"
"2024";"Groningen (municipality)";"  373411"
"2013";"Haarlem";"  234272"
"2014";"Haarlem";"  245391"
"2015";"Haarlem";"  268197"
"2016";"Haarlem";"  290367"
"2017";"Haarlem";"  324843"
"2018";"Haarlem";"  383576"
"2019";"Haarlem";"  417583"
"2020";"Haarlem";"  447447"
"2021";"Haarlem";"  507862"
"2022";"Haarlem";"  561362"
"2023";"Haarlem";"  507289"
"2024";"Haarlem";"  548843"
"2013";"'s-Hertogenbosch";"  221045"
"2014";"'s-Hertogenbosch";"  232591"
"2015";"'s-Hertogenbosch";"  253262"
"2016";"'s-Hertogenbosch";"  266306"
"2017";"'s-Hertogenbosch";"  288878"
"2018";"'s-Hertogenbosch";"  314713"
"2019";"'s-Hertogenbosch";"  333172"
"2020";"'s-Hertogenbosch";"  371124"
"2021";"'s-Hertogenbosch";"  412222"
"2022";"'s-Hertogenbosch";"  463836"
"2023";"'s-Hertogenbosch";"  443955"
"2024";"'s-Hertogenbosch";"  478097"
"2013";"Leeuwarden";"  143835"
"2014";"Leeuwarden";"  154238"
"2015";"Leeuwarden";"  157690"
"2016";"Leeuwarden";"  164437"
"2017";"Leeuwarden";"  177737"
"2018";"Leeuwarden";"  196578"
"2019";"Leeuwarden";"  215883"
"2020";"Leeuwarden";"  230738"
"2021";"Leeuwarden";"  262188"
"2022";"Leeuwarden";"  287719"
"2023";"Leeuwarden";"  294731"
"2024";"Leeuwarden";"  310226"
"2013";"Lelystad";"  161270"
"2014";"Lelystad";"  171740"
"2015";"Lelystad";"  179997"
"2016";"Lelystad";"  187695"
"2017";"Lelystad";"  196170"
"2018";"Lelystad";"  230010"
"2019";"Lelystad";"  242923"
"2020";"Lelystad";"  273122"
"2021";"Lelystad";"  332187"
"2022";"Lelystad";"  380395"
"2023";"Lelystad";"  372216"
"2024";"Lelystad";"  405965"
"2013";"Maastricht";"  206639"
"2014";"Maastricht";"  211753"
"2015";"Maastricht";"  221578"
"2016";"Maastricht";"  223194"
"2017";"Maastricht";"  240627"
"2018";"Maastricht";"  269823"
"2019";"Maastricht";"  283456"
"2020";"Maastricht";"  316733"
"2021";"Maastricht";"  353620"
"2022";"Maastricht";"  369617"
"2023";"Maastricht";"  374547"
"2024";"Maastricht";"  394938"
"2013";"Middelburg (Z.)";"  205495"
"2014";"Middelburg (Z.)";"  198061"
"2015";"Middelburg (Z.)";"  193782"
"2016";"Middelburg (Z.)";"  213342"
"2017";"Middelburg (Z.)";"  232814"
"2018";"Middelburg (Z.)";"  228579"
"2019";"Middelburg (Z.)";"  257953"
"2020";"Middelburg (Z.)";"  271151"
"2021";"Middelburg (Z.)";"  321374"
"2022";"Middelburg (Z.)";"  336663"
"2023";"Middelburg (Z.)";"  345346"
"2024";"Middelburg (Z.)";"  376819"
"2013";"Utrecht (municipality)";"  231691"
"2014";"Utrecht (municipality)";"  238446"
"2015";"Utrecht (municipality)";"  245900"
"2016";"Utrecht (municipality)";"  267618"
"2017";"Utrecht (municipality)";"  307737"
"2018";"Utrecht (municipality)";"  344018"
"2019";"Utrecht (municipality)";"  379770"
"2020";"Utrecht (municipality)";"  405791"
"2021";"Utrecht (municipality)";"  469949"
"2022";"Utrecht (municipality)";"  510980"
"2023";"Utrecht (municipality)";"  474406"
"2024";"Utrecht (municipality)";"  519924"
"2013";"Zwolle";"  213228"
"2014";"Zwolle";"  216558"
"2015";"Zwolle";"  218349"
"2016";"Zwolle";"  228479"
"2017";"Zwolle";"  245803"
"2018";"Zwolle";"  279684"
"2019";"Zwolle";"  293098"
"2020";"Zwolle";"  315874"
"2021";"Zwolle";"  363081"
"2022";"Zwolle";"  414535"
"2023";"Zwolle";"  410024"
"2024";"Zwolle";"  450763"
